haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U4a1ae1	0.0				no_ci		0.0		single_child_interpolation		
U4a1ae1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1ae2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b	8.0	7.5549	4.2174	10.9602	low	7.5549	4.2174	10.9602	rho_fallback_no_desc	0.0	0.0
U4a1b+16189	0.0				no_ci						
U4a1b1	5.0	6.2812	2.0846	10.589	low	6.2812	2.0846	10.589	rho_fallback_no_desc	0.0	0.0
U4a1b1+16189	0.0				no_ci						
U4a1b1_16189						9.8756	8.839	10.9184	ancestor_only		
U4a1b1a	2.0	5.2164	5.2164	5.2164	very_low	3.9459	3.9459		single_child_interpolation	-1.2705000000000002	24.355877616747186
U4a1b1a1	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1b1b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1c	1.0	5.2164			no_ci		1.0423		single_child_interpolation		
U4a1b1c1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1d	0.0				no_ci		1.0423		single_child_interpolation		
U4a1b1d1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1e	2.0	7.8917	7.8917	7.8917	very_low	7.8917	7.8917	7.8917	rho_fallback_no_desc	0.0	0.0
U4a1b1e1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1e2	0.0				no_ci		3.9459		single_child_interpolation		
U4a1b1e2a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1e3	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1e4	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1e5	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1k	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1l	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1b1m	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b1n	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b2	2.0	5.2164	5.2164	5.2164	very_low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
U4a1b2a	1.0	2.5854			no_ci	2.5854	0.0		rho_fallback_no_desc	0.0	0.0
U4a1b2a+16362	0.0				no_ci						
U4a1b2a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b2a_16362						9.8756	8.839	10.9184	ancestor_only		
U4a1b2b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b2c	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1b4	0.0				no_ci		1.0543		single_child_interpolation		
U4a1b4^	0.0				no_ci		2.1087		single_child_interpolation		
U4a1b4a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b5	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b6	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1b_16189						9.8756	8.839	10.9184	ancestor_only		
U4a1c	2.0	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
U4a1c1	1.0	0.0			no_ci		0.0		single_child_interpolation		
U4a1c1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1c1a^	0.0				no_ci		0.0		single_child_interpolation		
U4a1c2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1c2+152	0.0				no_ci						
U4a1c2_152						9.8756	8.839	10.9184	ancestor_only		
U4a1c2a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1c3	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1c^	2.0	6.5486	3.9479	9.1912	very_low	5.5812	4.4195	7.3805	single_child_interpolation	-0.9674000000000005	14.772623156094438
U4a1d	3.0	3.4574	0.0683	6.9235	low	3.4574	0.0683	6.9235	rho_fallback_no_desc	0.0	0.0
U4a1d1	2.0	2.5854	2.5854	2.5854	very_low	1.7287	0.0341	3.4617	single_child_interpolation	-0.8567	33.13607178773111
U4a1d1a	2.0	0.0	0.0	0.0	very_low		0.0171		single_child_interpolation		
U4a1d1a+16129	0.0				no_ci						
