Category	Group	Score Component	Time Window	Window Start (Years)	Score
Southern Segment	Corridor Segment	Change Component	0-500 Years	0	-1.17425
Southern Segment	Corridor Segment	Change Component	500-1000 Years	500	-1.1048
Southern Segment	Corridor Segment	Change Component	1000-1500 Years	1000	0.70634
Southern Segment	Corridor Segment	Change Component	1500-2000 Years	1500	0.18357
Southern Segment	Corridor Segment	Change Component	2000-2500 Years	2000	-2.23672
Southern Segment	Corridor Segment	Change Component	2500-3000 Years	2500	0.25047
Southern Segment	Corridor Segment	Change Component	3000-3500 Years	3000	1.58222
Southern Segment	Corridor Segment	Change Component	3500-4000 Years	3500	-0.61292
Southern Segment	Corridor Segment	Change Component	4000-4500 Years	4000	-1.80534
Southern Segment	Corridor Segment	Change Component	4500-5000 Years	4500	0.73556
Southern Segment	Corridor Segment	Change Component	5000-5500 Years	5000	1.63014
Southern Segment	Corridor Segment	Change Component	5500-6000 Years	5500	1.91723
Southern Segment	Corridor Segment	Change Component	6000-6500 Years	6000	0.01136
Southern Segment	Corridor Segment	Change Component	6500-7000 Years	6500	0.24316
Southern Segment	Corridor Segment	Change Component	7000-7500 Years	7000	-1.08375
Southern Segment	Corridor Segment	Change Component	7500-8000 Years	7500	-1.85669
Southern Segment	Corridor Segment	Change Component	8000-8500 Years	8000	0.37684
Southern Segment	Corridor Segment	Change Component	8500-9000 Years	8500	-1.49682
Southern Segment	Corridor Segment	Change Component	9000-9500 Years	9000	-2.03372
Western Highland	Highland	Change Component	0-500 Years	0	0.42558
Western Highland	Highland	Change Component	500-1000 Years	500	0.26361
Western Highland	Highland	Change Component	1000-1500 Years	1000	-0.55755999999999994
Western Highland	Highland	Change Component	1500-2000 Years	1500	-0.07852
Western Highland	Highland	Change Component	2000-2500 Years	2000	1.02754
Western Highland	Highland	Change Component	2500-3000 Years	2500	0.66406
Western Highland	Highland	Change Component	3000-3500 Years	3000	0.02987
Western Highland	Highland	Change Component	3500-4000 Years	3500	0.033890000000000003
Western Highland	Highland	Change Component	4000-4500 Years	4000	0.03411
Western Highland	Highland	Change Component	4500-5000 Years	4500	-0.69438
Western Highland	Highland	Change Component	5000-5500 Years	5000	-0.57877
Western Highland	Highland	Change Component	5500-6000 Years	5500	0.04639
Western Highland	Highland	Change Component	6000-6500 Years	6000	-0.02297
Western Highland	Highland	Change Component	6500-7000 Years	6500	-1.1936
Western Highland	Highland	Change Component	7000-7500 Years	7000	-0.98411
Western Highland	Highland	Change Component	7500-8000 Years	7500	-0.36338
Western Highland	Highland	Change Component	8000-8500 Years	8000	-1.77502
Western Highland	Highland	Change Component	8500-9000 Years	8500	0.25884
Western Highland	Highland	Change Component	9000-9500 Years	9000	0.45983
Western Highland	Highland	Change Component	9500-10000 Years	9500	-0.92523
Western Highland	Highland	Change Component	10000-10500 Years	10000	-0.64991
Western Highland	Highland	Change Component	10500-11000 Years	10500	-1.3332
Western Highland	Highland	Change Component	11000-11500 Years	11000	0.13555
Western Highland	Highland	Change Component	11500-12000 Years	11500	-0.03685
Western Highland	Highland	Change Component	12000-12500 Years	12000	-0.58313
Western Highland	Highland	Change Component	12500-13000 Years	12500	0.08443
Western Highland	Highland	Change Component	13000-13500 Years	13000	0.4486
Western Highland	Highland	Change Component	13500-14000 Years	13500	-0.11099
Western Highland	Highland	Change Component	14000-14500 Years	14000	-0.22066
Western Highland	Highland	Change Component	14500-15000 Years	14500	-0.18571
Western Highland	Highland	Change Component	15000-15500 Years	15000	-0.33007
Western Highland	Highland	Change Component	15500-16000 Years	15500	-0.53403
Western Highland	Highland	Change Component	16000-16500 Years	16000	-0.20609
Western Highland	Highland	Change Component	16500-17000 Years	16500	-0.28244
Western Highland	Highland	Change Component	17000-17500 Years	17000	-0.41609
Western Highland	Highland	Change Component	17500-18000 Years	17500	-0.77013
Western Highland	Highland	Change Component	18000-18500 Years	18000	-0.4342
Western Highland	Highland	Change Component	18500-19000 Years	18500	-0.1156
Western Highland	Highland	Change Component	19000-19500 Years	19000	-0.00621
Western Highland	Highland	Change Component	19500-20000 Years	19500	-0.42976
Central Segment	Corridor Segment	Level Component	0-500 Years	0	-0.73003
Central Segment	Corridor Segment	Level Component	500-1000 Years	500	-0.45897
Central Segment	Corridor Segment	Level Component	1000-1500 Years	1000	-0.26963
Central Segment	Corridor Segment	Level Component	1500-2000 Years	1500	-0.89589
Central Segment	Corridor Segment	Level Component	2000-2500 Years	2000	-1.18685
Central Segment	Corridor Segment	Level Component	2500-3000 Years	2500	-0.95751
Central Segment	Corridor Segment	Level Component	3000-3500 Years	3000	-0.84588
Central Segment	Corridor Segment	Level Component	3500-4000 Years	3500	-0.34716
Central Segment	Corridor Segment	Level Component	4000-4500 Years	4000	-0.41917
Central Segment	Corridor Segment	Level Component	4500-5000 Years	4500	-0.05971
Central Segment	Corridor Segment	Level Component	5000-5500 Years	5000	-0.34672
Central Segment	Corridor Segment	Level Component	5500-6000 Years	5500	-0.22931000000000001
Central Segment	Corridor Segment	Level Component	6000-6500 Years	6000	-0.06039
Central Segment	Corridor Segment	Level Component	6500-7000 Years	6500	-0.98197
Central Segment	Corridor Segment	Level Component	7000-7500 Years	7000	-0.76887
Central Segment	Corridor Segment	Level Component	7500-8000 Years	7500	-1.0265
Central Segment	Corridor Segment	Level Component	8000-8500 Years	8000	-0.9687
Central Segment	Corridor Segment	Level Component	8500-9000 Years	8500	-1.01653
Central Segment	Corridor Segment	Level Component	9000-9500 Years	9000	-0.89825
Central Segment	Corridor Segment	Level Component	9500-10000 Years	9500	-0.97172
Central Segment	Corridor Segment	Level Component	10000-10500 Years	10000	-0.82957
Central Segment	Corridor Segment	Level Component	10500-11000 Years	10500	-0.98886
Central Segment	Corridor Segment	Level Component	11000-11500 Years	11000	-0.91521
Central Segment	Corridor Segment	Level Component	11500-12000 Years	11500	-1.41872
Central Segment	Corridor Segment	Level Component	12000-12500 Years	12000	-0.90504
Central Segment	Corridor Segment	Level Component	12500-13000 Years	12500	-1.29736
Central Segment	Corridor Segment	Level Component	13000-13500 Years	13000	-1.37732
Central Segment	Corridor Segment	Level Component	13500-14000 Years	13500	-1.24258
Central Segment	Corridor Segment	Level Component	14000-14500 Years	14000	-1.17609
Central Segment	Corridor Segment	Level Component	14500-15000 Years	14500	-1.5459
Central Segment	Corridor Segment	Level Component	15000-15500 Years	15000	-1.77697
Central Segment	Corridor Segment	Level Component	15500-16000 Years	15500	-0.93172
Central Segment	Corridor Segment	Level Component	16000-16500 Years	16000	-1.4337
Central Segment	Corridor Segment	Level Component	16500-17000 Years	16500	-1.3764
Central Segment	Corridor Segment	Level Component	17000-17500 Years	17000	-0.21591
Central Segment	Corridor Segment	Level Component	17500-18000 Years	17500	-1.37767
Central Segment	Corridor Segment	Level Component	18000-18500 Years	18000	-1.80977
Central Segment	Corridor Segment	Level Component	18500-19000 Years	18500	-0.82179
Central Segment	Corridor Segment	Level Component	19000-19500 Years	19000	-0.87512
Central Segment	Corridor Segment	Level Component	19500-20000 Years	19500	-0.76833
