Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Time of Maximum Contraction	1000.00000	1000.00000	1000.00000	0.020	A contraction occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Maximum Contraction Rate	0.37938	-0.00110	0.69690	0.020	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Mean Log Effective Population Size	11.56134	11.28397	11.88419			1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Net Change in Log Effective Population Size	0.07229	-0.07970	0.23492	0.805	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Mean Rate of Change	0.00018	-0.00020	0.00059	0.805	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Fluctuation Amplitude	0.08006	0.00221	0.20786			1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Time of Maximum Expansion	1400.00000	1000.00000	1400.00000	0.970	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Maximum Expansion Rate	0.21922	-0.00353	0.47534	0.970	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Time of Maximum Contraction	1000.00000	1000.00000	1400.00000	0.250	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	1000-1500 Years	1000	1500	Maximum Contraction Rate	0.10374	-0.15836	0.41017	0.250	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Mean Log Effective Population Size	11.40562	11.16312	11.72217			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Net Change in Log Effective Population Size	-0.14748	-0.25064	-0.02438	0.000	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Mean Rate of Change	-0.00037	-0.00063	-0.00006	0.000	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Fluctuation Amplitude	0.14748	0.02438	0.25064			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Time of Maximum Expansion	1400.00000	1400.00000	1400.00000	0.680	An expansion occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Maximum Expansion Rate	0.02491	-0.14929	0.18777	0.680	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Time of Maximum Contraction	1000.00000	1000.00000	1000.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	1000-1500 Years	1000	1500	Maximum Contraction Rate	-0.29454	-0.49083	-0.04729	1.000	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Mean Log Effective Population Size	9.61966	9.27182	9.94009			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Net Change in Log Effective Population Size	0.07192	-0.04290	0.19259	0.890	Net increase over the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Mean Rate of Change	0.00018	-0.00011	0.00048	0.890	Positive mean rate of change	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Fluctuation Amplitude	0.07220	0.00039	0.18147			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Time of Maximum Expansion	1400.00000	1000.00000	1400.00000	0.890	An expansion occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Maximum Expansion Rate	0.24922	-0.09038	0.64665	0.890	An expansion occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Time of Maximum Contraction	1000.00000	1000.00000	1400.00000	0.110	A contraction occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	1000-1500 Years	1000	1500	Maximum Contraction Rate	0.12003	-0.07824	0.37953	0.110	A contraction occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	1000-1500 Years	1000	1500	Mean Log Effective Population Size	10.16649	9.92295	10.40120			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	1000-1500 Years	1000	1500	Net Change in Log Effective Population Size	-0.02863	-0.11834	0.08366	0.350	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	1000-1500 Years	1000	1500	Mean Rate of Change	-0.00007	-0.00030	0.00021	0.350	Positive mean rate of change	1.000	Yes	
