Category	Group	Time Window	Window Start (Years)	Feature	Median
North China	Northern Lowland	2000-2500 Years	2000	Time of Maximum Expansion	2400
North China	Northern Lowland	2000-2500 Years	2000	Maximum Expansion Rate	0.45249
North China	Northern Lowland	2000-2500 Years	2000	Time of Maximum Contraction	2000
North China	Northern Lowland	2000-2500 Years	2000	Maximum Contraction Rate	0.22334
Northern Segment	Corridor Segment	2000-2500 Years	2000	Mean Log Effective Population Size	11.01129
Northern Segment	Corridor Segment	2000-2500 Years	2000	Net Change in Log Effective Population Size	0.27702
Northern Segment	Corridor Segment	2000-2500 Years	2000	Mean Rate of Change	6.9e-4
Northern Segment	Corridor Segment	2000-2500 Years	2000	Fluctuation Amplitude	0.27702
Northern Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Expansion	2400
Northern Segment	Corridor Segment	2000-2500 Years	2000	Maximum Expansion Rate	0.67071
Northern Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Contraction	2000
Northern Segment	Corridor Segment	2000-2500 Years	2000	Maximum Contraction Rate	0.54483
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Mean Log Effective Population Size	9.29808
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Net Change in Log Effective Population Size	0.10387
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Mean Rate of Change	2.6e-4
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Fluctuation Amplitude	0.10427
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Time of Maximum Expansion	2000
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Maximum Expansion Rate	0.24922
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Time of Maximum Contraction	2400
Panxi and Liangshan	Sichuan Region	2000-2500 Years	2000	Maximum Contraction Rate	0.04075
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Mean Log Effective Population Size	9.61649
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Net Change in Log Effective Population Size	0.30071
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Mean Rate of Change	7.5e-4
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Fluctuation Amplitude	0.30071
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Time of Maximum Expansion	2200
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Maximum Expansion Rate	0.68252
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Time of Maximum Contraction	2000
Qinghai-Tibet Plateau Core	Highland	2000-2500 Years	2000	Maximum Contraction Rate	0.57179
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Mean Log Effective Population Size	11.05714
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Net Change in Log Effective Population Size	-0.13776
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Mean Rate of Change	-3.4e-4
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Fluctuation Amplitude	0.20247
