haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A6e	9	11.8318	2.6695	21.4769	low	11.8318	2.6695	21.4769	rho_fallback_no_desc	0.0	0.0
A7	45	15.9837	11.739	20.3204	medium	15.9837	11.739	20.3204	rho_direct	0.0	0.0
A8	63	23.1836	20.3148	26.0886	high	24.2719	22.5625	26.0013	single_child_interpolation	1.0883000000000003	4.69426663676047
A8a	57	21.7394	18.8009	24.7169	high	21.7394	18.8009	24.7169	rho_direct	0.0	0.0
A8a1	19	8.4604	5.2324	11.7507	medium	8.4604	5.2324	11.7507	rho_direct	0.0	0.0
A8a5	21	22.0299	16.4524	27.7491	low	22.0299	16.4524	27.7491	rho_direct	0.0	0.0
A9	0				no_ci		0.0		rho_fallback_no_desc		
A_T152C	3037	25.3145	24.7653	25.865	high	25.3145	24.7653	25.865	rho_direct	0.0	0.0
A_T152C_T16362C	2685	23.3896	22.8015	23.9792	high	23.3896	22.8015	23.9792	rho_direct	0.0	0.0
A_T152C_T16362C_A200G	642	17.7997	16.5072	19.1003	high	17.7997	16.5072	19.1003	rho_direct	0.0	0.0
A_T152C_T16362C_T16189C	37	17.3186	14.599	20.0747	medium	17.3186	14.599	20.0747	rho_direct	0.0	0.0
B2	326	18.8459	18.0221	19.6728	high	18.8459	18.0221	19.6728	rho_direct	0.0	0.0
B2_C16278T!	5	15.0464	9.7345	20.5062	low	11.3706	9.6804	13.084	single_child_interpolation	-3.6758000000000006	24.429763930242455
B2a	27	11.934	10.225	13.659	medium	11.934	10.225	13.659	rho_direct	0.0	0.0
B2a1	9	8.4921	6.2059	10.8093	low	8.4921	6.2059	10.8093	rho_fallback_no_desc	0.0	0.0
B2a1a	2	5.2164	0.1025	10.5005	very_low	5.5388	3.1029	9.2965	single_child_interpolation	0.3224	6.180507629782992
B2a1a1	2	2.5854	-2.4381	7.7838	very_low	2.5854	0.0	7.7838	rho_fallback_no_desc	0.0	0.0
B2a1b	2	6.5486	3.9479	9.1912	very_low	6.5486	3.9479	9.1912	rho_fallback_no_desc	0.0	0.0
B2a2	3	11.5256	9.7356	13.3334	low	11.5256	9.7356	13.3334	rho_fallback_no_desc	0.0	0.0
B2a3	4	3.8953	1.3387	6.4951	low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
B2a4	5	13.3705	9.9548	16.8488	low	11.9596	9.7625	14.1845	single_child_interpolation	-1.4108999999999998	10.55233536516959
B2a4a	4	11.9851	9.2999	14.71	low	8.588	7.4894	9.7005	single_child_interpolation	-3.3971	28.344360914802547
B2a4a1	3	5.2164	5.2164	5.2164	low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
B2a5	2	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
B2b	82	20.3421	18.3284	22.3746	low	20.3421	18.3284	22.3746	rho_direct	0.0	0.0
B2b1	1	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
B2b2	3	20.9279	15.9971	25.9714	low	12.1187	9.8336	14.4348	single_child_interpolation	-8.8092	42.09309104114603
B2b2a	2	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
B2b3	11	29.1155	25.2493	33.0406	low	15.8879	14.4701	17.3172	single_child_interpolation	-13.2276	45.431471209493225
B2b3a	10	11.4338	10.6117	12.2597	medium	8.3723	7.2436	9.5092	single_child_interpolation	-3.0615000000000006	26.7758750371705
