haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
R0a2i	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
R0a2j	14766.0	6709.2	23170.7	14.766	6.7092	23.1707	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
R0a2k	16171.7	9516.3	23055.6	16.1717	9.5163	23.0556	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
R0a2k1	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	NA	
R0a2k2	3457.4	0.0	8058.7	3.4574	0.0000	8.0587	3	rho_fallback_no_desc	NA	
R0a2l	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
R0a2m	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
R0a2n	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
R0a3	12913.0	6796.1		12.913	6.7961	NA	3	single_child_interpolation	NA	
R0a3a	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
R0a4	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
R0a_60.1T	17536.5	15882.9	19203.4	17.5365	15.8829	19.2034	56	rho_direct	NA	
R0b	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
R1	55082.9	52616.5	57564.7	55.0829	52.6165	57.5647	41	rho_direct	low	ci_exceeds_ancestor
R10	17871.5	14124.7	21687.1	17.8715	14.1247	21.6871	5	rho_fallback_no_desc	NA	
R11	20649.9	19567.4	21737.8	20.6499	19.5674	21.7378	249	rho_direct	NA	
R11'B6'B7	40955.5	39761.8	42153.7	40.9555	39.7618	42.1537	403	rho_direct	NA	
R11a	12492.2	10246.4	14778.8	12.4922	10.2464	14.7788	54	single_child_interpolation	NA	
R11a1	4334.4	925.4	7819.8	4.3344	0.9254	7.8198	3	rho_fallback_no_desc	NA	
R11b	19165.8	17706.8	20634.8	19.1658	17.7068	20.6348	168	rho_direct	NA	
R11b1	16552.4	14952.6	18165.0	16.5524	14.9526	18.1650	89	rho_direct	NA	
R11b1a	11772.9	7469.2	16180.1	11.7729	7.4692	16.1801	26	rho_direct	NA	
R11b1b	13052.9	10939.6	15190.2	13.0529	10.9396	15.1902	35	rho_direct	NA	
R11b2	12973.6	0.0	28222.4	12.9736	0.0000	28.2224	7	rho_fallback_no_desc	low	ci_exceeds_ancestor
R11b3	21891.8	13095.3	31047.5	21.8918	13.0953	31.0475	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
R11b4	9699.2	7927.6	11488.9	9.6992	7.9276	11.4889	3	rho_fallback_no_desc	NA	
R11b5	13370.5	13370.5	13370.5	13.3705	13.3705	13.3705	5	rho_fallback_no_desc	NA	
R11c	13061.7	11159.4	14983.4	13.0617	11.1594	14.9834	9	rho_fallback_no_desc	NA	
R11d	10610.1	10610.1	10610.1	10.6101	10.6101	10.6101	4	rho_fallback_no_desc	NA	
R12	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
R12'21	63536.0	60745.7	66343.5	63.536	60.7457	66.3435	11	rho_direct	low	ci_exceeds_ancestor
R13	17587.2	15694.1	19497.8	17.5872	15.6941	19.4978	6	rho_fallback_no_desc	NA	
R14	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
R15		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R16	21891.8	0.0		21.8918	0.0000	NA	1	rho_fallback_no_desc	NA	
R18		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R19	16171.7	16171.7	16171.7	16.1717	16.1717	16.1717	2	rho_fallback_no_desc	NA	
R1a	32741.2	30463.2	35039.2	32.7412	30.4632	35.0393	31	single_child_interpolation	NA	
R1a1	10399.5	8309.9	12513.8	10.3995	8.3099	12.5138	26	rho_direct	NA	
R1a1a	9245.6	5840.7	12718.6	9.2456	5.8407	12.7186	12	rho_direct	low	ci_exceeds_ancestor
R1a1a1	5915.5	4213.1	7652.0	5.9155	4.2130	7.6520	5	single_child_interpolation	NA	
R1a1a1a	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
R1a1a2	1718.5	0.0	5145.6	1.7185	0.0000	5.1456	3	rho_fallback_no_desc	NA	
R1a1b	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
R1a1c	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
R1a1d	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	5	rho_fallback_no_desc	NA	
R1b	21891.8	20430.0	23363.3	21.8918	20.4300	23.3633	10	rho_direct	NA	
R1b1	16171.7	13004.8	19389.3	16.1717	13.0048	19.3893	6	rho_fallback_no_desc	NA	
R1b2	11985.1	10429.9	13553.6	11.9851	10.4299	13.5536	4	rho_fallback_no_desc	NA	
R2	21393.8	19391.8	23413.9	21.3938	19.3918	23.4139	93	rho_direct	NA	
R2'JT	64830.6	64350.1	65311.5	64.8306	64.3501	65.3115	2313	rho_direct	low	ci_exceeds_ancestor
R20		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R21	5481.9	2363.8	8662.2	5.4819	2.3638	8.6622	10	rho_direct	NA	
R22	38587.4	36742.3	40443.8	38.5874	36.7423	40.4438	56	rho_direct	NA	
R22a	25438.3	23584.4	27306.6	25.4383	23.5844	27.3066	28	rho_direct	NA	
R22b	17716.4	16153.0	19291.6	17.7164	16.1530	19.2916	11	rho_direct	NA	
R22c	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	7	rho_fallback_no_desc	NA	
R22d	21891.8	21891.8	21891.8	21.8918	21.8918	21.8918	4	rho_fallback_no_desc	NA	
R22e	7891.7	7891.7	7891.7	7.8917	7.8917	7.8917	3	rho_fallback_no_desc	NA	
R22f		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R22g	39914.4	39914.4	39914.4	39.9144	39.9144	39.9144	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
R23	36796.4	36673.4	36919.5	36.7965	36.6734	36.9195	9	single_child_interpolation	NA	
