baseml_subtree_id	tip_name	tip_role	source_core_subtree_id	source_node_id
baseml_subtree_0001	KY409758	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409563	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409813	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704186	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM103354	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX297162	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF177446	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG831750	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM852783	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153224	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410082	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324670	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324633	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409287	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409429	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687118	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324931	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704291	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704671	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153783	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702269	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF162923	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704564	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM171275	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM171277	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703635	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703561	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF177421	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704158	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408913	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409448	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702495	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704370	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702701	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF177432	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153389	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153869	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324594	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702360	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY738977	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153073	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687180	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152889	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704613	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ839859	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703312	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ701825	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MH351267	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702043	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ658482	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ348196	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	FJ348199	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702161	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704655	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702009	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705930	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152925	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703319	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704566	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HG00105	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703995	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704459	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00578	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705493	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704177	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF562342	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM625711	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704285	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704032	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HQ400746	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702370	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	111-1911-2430	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705102	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702071	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704433	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705436	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703756	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704509	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG778661	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	111-1901-2228	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703527	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704562	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF163002	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EU600345	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00158	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KC911277	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702703	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153876	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704139	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KJ856753	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JN603189	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	PV621807	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646129	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687282	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KC257358	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153213	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153222	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704003	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703357	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687181	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687229	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EU600348	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00557	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU797136	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00562	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	111-1926-0391	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702763	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152804	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704913	core	core_subtree_0001	NODE_000038
