original	sanitized
B2i2a	B2i2a
B2i2a1	B2i2a1
B2i2a1a	B2i2a1a
B2i2a1b	B2i2a1b
B2i2b	B2i2b
B2i2b1	B2i2b1
B2j	B2j
B2k	B2k
B2l	B2l
B2m	B2m
B2n	B2n
B2o	B2o
B2o1	B2o1
B2o1a	B2o1a
B2p	B2p
B2q	B2q
B2r	B2r
B2s	B2s
B2t	B2t
B2u	B2u
B2v	B2v
B2w	B2w
B2x	B2x
B2y	B2y
B2y1	B2y1
B4	B4
B4'5	B4_5
B4_C16261T	B4_C16261T
B4a	B4a
B4a1	B4a1
B4a1_T16311C	B4a1_T16311C
B4a1a	B4a1a
B4a1a1	B4a1a1
B4a1a1_C151T	B4a1a1_C151T
B4a1a1_T152C!	B4a1a1_T152C
B4a1a1_T16126C	B4a1a1_T16126C
B4a1a1a	B4a1a1a
B4a1a1a1	B4a1a1a1
B4a1a1a10	B4a1a1a10
B4a1a1a11	B4a1a1a11
B4a1a1a11a	B4a1a1a11a
B4a1a1a11b	B4a1a1a11b
B4a1a1a12	B4a1a1a12
B4a1a1a13	B4a1a1a13
B4a1a1a14	B4a1a1a14
B4a1a1a15	B4a1a1a15
B4a1a1a16	B4a1a1a16
B4a1a1a17	B4a1a1a17
B4a1a1a18	B4a1a1a18
B4a1a1a19	B4a1a1a19
B4a1a1a1a	B4a1a1a1a
B4a1a1a1a1	B4a1a1a1a1
B4a1a1a1b	B4a1a1a1b
B4a1a1a1c	B4a1a1a1c
B4a1a1a1d	B4a1a1a1d
B4a1a1a2	B4a1a1a2
