source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2b1b	3	1.18	-1.13	3.48		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2b1b	3	0.86	-0.83	2.55		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2b1b	3	0.0	0.0	0.0		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2b1b	3	2.91	1.76	6.9		<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2b1b	3	1.24				<2 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2b2	18	8.24	4.28	12.19		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4b2b2	18	11.92	7.41	16.43		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4b2b2	18	14.88	6.39	23.38		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4b2b2	18	15.03	7.1	25.62		11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4b2b2	18	12.52				11.5-19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4b2b2a	6	6.47	0.94	12.0		5-11.5 kya
